更新时间,#genre#
20260921-09-44-38,url


RespoTime,whitelist,#genre#
447.68ms,CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
597.97ms,CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
473.47ms,CCTV1,http://121.237.245.243:8888/rtp/239.49.8.129:6000
563.68ms,CCTV1,http://106.59.2.196:55555/rtp/239.200.200.2:8080
562.90ms,CCTV1,http://106.59.2.196:55555/rtp/239.200.201.45:8800
469.33ms,CCTV1,http://39.77.25.56:4002/rtp/239.253.254.77:8000
325.69ms,CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
563.61ms,CCTV1,http://171.119.206.125:6000/rtp/226.0.2.153:9136
449.82ms,CCTV1,http://39.77.26.75:4002/rtp/239.253.254.89:8000
470.16ms,CCTV1,http://221.220.129.160:8012/rtp/239.3.1.129:8008
451.15ms,CCTV1,http://219.156.32.34:4022/rtp/225.1.4.73:1102
465.02ms,CCTV1,http://60.4.29.46:8077/rtp/239.253.92.83:8012
447.22ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
449.85ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
597.88ms,CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
469.24ms,CCTV1,http://106.59.2.196:55555/rtp/239.200.200.14:8852
563.03ms,CCTV1,http://106.59.2.196:55555/rtp/239.200.200.117:8712
469.34ms,CCTV1,http://183.164.237.165:8888/rtp/238.1.78.166:7200
468.79ms,CCTV1,http://39.77.25.244:4002/rtp/239.253.254.89:8000
448.75ms,CCTV1,http://39.77.25.56:4002/rtp/239.253.254.89:8000
449.83ms,CCTV1,http://121.237.245.243:8888/rtp/239.49.8.19:9614
448.87ms,CCTV1,http://39.77.25.244:4002/rtp/239.253.254.77:8000
453.93ms,CCTV1,http://39.77.26.75:4002/rtp/239.253.254.77:8000
453.78ms,CCTV1,http://171.119.206.133:6000/rtp/226.0.2.153:9136
395.99ms,CCTV1,http://173.208.212.130:8181/720p/cctv1.m3u8
497.22ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
351.08ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
830.52ms,CCTV1,http://171.8.138.218:8800/rtp/239.16.20.1:10010
400.35ms,CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
411.01ms,CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
644.38ms,CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8
452.74ms,CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
459.47ms,CCTV1,http://120.198.95.220:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
465.94ms,CCTV1,http://112.92.129.95:9898/hls/18/index.m3u8
433.59ms,CCTV1,http://36.110.54.118:866/hls/1/index.m3u8
591.94ms,CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
746.90ms,CCTV1,http://222.134.19.49:8090/608807420
543.71ms,CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8
850.47ms,CCTV1,http://120.40.39.246:352/newlive/live/hls/1/live.m3u8
557.59ms,CCTV1,http://118.122.144.115:8888/newlive/live/hls/1/live.m3u8
1798.74ms,CCTV1,http://124.112.241.231:4022/rtp/238.1.78.166:7200
496.98ms,CCTV1,http://114.254.38.234:8888/rtp/239.3.1.129:8008
586.57ms,CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
496.87ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.53:8060
2115.82ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
1149.56ms,CCTV1,http://119.233.255.62:1234/608807420
1812.38ms,CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
1822.01ms,CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8
1486.10ms,CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8
448.18ms,CCTV1,http://1.192.242.239:8188/rtp/239.16.20.1:10010
472.27ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.1:8008
1734.06ms,CCTV1,http://8.138.7.223/tv/ysp.php?id=cctv1
437.39ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.126:8002
2314.53ms,CCTV1,http://222.213.105.65:7788/608807420
2358.74ms,CCTV1,http://120.48.113.49:6006/608807420
2477.50ms,CCTV1,http://45.78.61.93:1234/608807420
2074.12ms,CCTV1,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=6607337aa8fa6d6cd9b46915384af2
2518.52ms,CCTV1,http://27.11.209.151:3000/608807420
2231.77ms,CCTV1,http://www.ikerobot.com:1234/608807420
416.83ms,CCTV1,http://121.237.244.171:8888/rtp/239.49.8.19:9614
2539.50ms,CCTV1,http://112.26.106.165:7788/608807420
2155.65ms,CCTV1,http://103.236.77.86:29824/608807420
2156.34ms,CCTV1,http://jxj.zhgdyun.com:1234/608807420
22.01ms,CCTV1,http://38.75.136.137:98/gslb/dsdqca/cctv1hd.m3u8?auth=test20251009
430.54ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.194:4120
2558.37ms,CCTV1,http://124.221.146.169:7001/608807420
2471.83ms,CCTV1,http://2280.eu.org:1234/608807420
2145.43ms,CCTV1,http://47.119.24.76:59093/608807420
485.00ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.210:8068
2285.12ms,CCTV1,http://mg.cttv.vip/608807420
229.53ms,CCTV1,http://192.151.150.154/live/cctv1hd.m3u8
250.89ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
306.42ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=14
252.94ms,CCTV1,https://iptv.catvod.com/catvod?id=CCTV1&line=7
